Class	medcode	clinicalevents	referralevents	testevents	readterm
1	1	20772	407	11	0	Hypoplastic left heart syndrome
1	14	98061	19	0	0	Congenital dextroposition of heart
1	18	44478	21	0	0	Other pulmonary valve anomalies
2	22	22582	149	2	0	Mitral valvuloplasty NEC
1	24	46825	50	3	0	Congenital malformation of aortic and mitral valves unsp
1	27	98277	1090	26	0	Aortic root dilatation
2	38	3169	1308	59	0	Heart valve and adjacent structures operations NOS
1	40	38731	81	3	0	Vascular ring
1	62	36416	101	0	0	Complete situs inversus with dextrocardia
1	66	18820	1134	118	0	H/O: cardiac anomaly
2	78	102523	2	0	0	Percutaneous translum repair defect intervent septum NEC
2	80	94023	13	0	0	Closure of multiple interventricular septal defects
1	86	26626	110	6	0	Unspecified anomaly of heart valve
1	88	45452	2	0	0	Congenital fusion of pulmonary valve segment
2	105	65824	12	0	0	Therapeutic transluminal heart septostomy
1	115	58810	8	0	0	Aortic insufficiency alone, cause unspecified
1	116	1005	11339	157	0	Aortic regurgitation alone, cause unspecified
1	118	64953	3	0	0	Postductal interruption of aorta
1	119	49279	2	0	0	Postductal aortic stenosis
1	125	58076	47	0	0	Atresia or stenosis of aorta NOS
1	128	112574	3	0	0	Congenital insufficiency of heart valve NEC
1	137	100291	4	0	0	Congenital mitral stenosis NOS
1	146	61878	191	2	0	Pulmonary stenosis, cause unspecified
1	157	98383	3	0	0	Left ventricle aorta tunnel right ventricle pul art val con
2	170	36795	57	0	0	Percutaneous transluminal pulmonary valvotomy
1	171	30949	31	1	0	Dextraposition of aorta
2	181	88479	25	1	0	Repair of tetralogy of Fallot with absent pulmonary valve
1	84	59298	1	0	0	Aplasia of aorta
1	193	98317	5	0	0	Fusion of mitral valve cusps
1	195	61100	12	0	0	Transposition of aorta
1	206	55535	47	4	0	Common atrium
1	211	50529	35	0	0	Congenital malformation of tricuspid valve, unspecified
1	216	90551	2	0	0	Congenital mitral stenosis, unspecified
2	221	42748	86	0	0	Closed aortic valvotomy
1	230	65330	4	0	0	Aorticopulmonary septal defect
1	231	51418	40	0	0	Aortopulmonary window
2	244	53164	110	0	0	Aortic valvuloplasty NEC
2	245	95578	9	0	0	Primary repair of defect of interventricular septum NEC
1	246	5714	117	12	0	Atrioventricular dissociation
2	247	69021	1	0	0	Atrium reconstruction atrial wall for transpos great vessels
1	249	69556	2	0	0	Laevocardia
2	252	114866	2	0	0	Perc trans ball dil inter tube prosth between pulm art aorta
1	254	114566	1	0	0	Supernumerary cusps of the mitral valve
1	257	19957	270	4	0	Pulmonary valve disorders NOS
1	258	19019	1678	23	0	Aortic valve disorders NOS
2	263	16538	32	2	0	Correct Fallot tetralogy- valved right ventr outflow conduit
1	264	56575	55	0	0	Interventricular septal defect
2	288	49625	38	0	0	Closed operations on septum of heart
2	300	65024	6	0	0	Therapeutic transluminal operation on septum of heart NOS
2	301	25735	336	4	0	Aorta operations NOS
2	302	66308	16	0	0	Other open operation on septum of heart NOS
2	316	95360	25	0	0	Operations on aortic root NOS
2	318	98917	2	0	0	Other parts of heart or pericardium operations OS
2	331	91892	20	1	0	Repair of defect of interventricular septum
1	346	44488	234	0	0	Mitral stenosis with insufficiency
1	348	49272	40	2	0	[X]Other aortic valve disorders
2	366	16636	456	15	0	Open heart valvotomy
2	393	58886	8	0	0	Atrial inversion op for transposition of great vessels NOS
2	400	91693	26	0	0	Relief of right ventricular outflow tract obstruction
1	401	56571	10	0	0	Waterson anastomosis ascending aorta to right pulmonary art
1	409	49355	63	3	0	Mitral stenosis and aortic insufficiency
1	416	49551	53	0	0	Tricuspid stenosis and regurgitation, cause unspecified
